Empresa;Tipo;Fecha;FechaHora;Almacen;Producto;btProducto;Descripci—n;Cantidad;Documento;OFL;Ubi;Lote
1;Entrada;07/10/2015;07/10/2015;Principal;PL-ALB-003;;;0;;;0;
1;Entrada;07/10/2015;07/10/2015;Principal;PL-ALB-004;;;625;;;PASILLO;
1;Entrada;07/10/2015;07/10/2015;Principal;PL-ALB-005;;;50;;;M0;
1;Entrada;07/10/2015;07/10/2015;Principal;PL-ALB-006;;;22;;;0;
1;Entrada;07/10/2015;07/10/2015;Principal;PL-ANT-001;;;200;;;L-2;
1;Entrada;07/10/2015;07/10/2015;Principal;PL-ASH-002;;;0;;;P1;
1;Entrada;07/10/2015;07/10/2015;Principal;PL-ASH-007;;;0;;;0;
1;Entrada;07/10/2015;07/10/2015;Principal;PL-ASH-013;;;0;;;PATIO;
1;Entrada;07/10/2015;07/10/2015;Principal;PL-ASH-014;;;3;;;J-1;
1;Entrada;07/10/2015;07/10/2015;Principal;PL-ASH-015;;;250;;;K-1;
1;Entrada;07/10/2015;07/10/2015;Principal;PL-ASH-018;;;85;;;K-1;
1;Entrada;07/10/2015;07/10/2015;Principal;PL-ASH-019;;;0;;;K-1;
1;Entrada;07/10/2015;07/10/2015;Principal;PL-ASH-026;;;0;;;P2;
1;Entrada;07/10/2015;07/10/2015;Principal;PL-ASH-028;;;75;;;M-3;
1;Entrada;07/10/2015;07/10/2015;Principal;PL-ASH-030;;;125;;;M-1;
1;Entrada;07/10/2015;07/10/2015;Principal;PL-ASH-032;;;104;;;K-2;
1;Entrada;07/10/2015;07/10/2015;Principal;PL-ASH-033;;;25;;;M-1;
1;Entrada;07/10/2015;07/10/2015;Principal;PL-ASH-034;;;166;;;M4;
1;Entrada;07/10/2015;07/10/2015;Principal;PL-ASH-035;;;265;;;N2;
1;Entrada;07/10/2015;07/10/2015;Principal;PL-ASH-036;;;475;;;U-1;
1;Entrada;07/10/2015;07/10/2015;Principal;PL-ASH-038;;;0;;;D2;
1;Entrada;07/10/2015;07/10/2015;Principal;PL-ASH-039;;;325;;;J-1;
1;Entrada;07/10/2015;07/10/2015;Principal;PL-BAD-001;;;538;;;S-1;
